Name	Rank	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species	Intensity BOTV1	Intensity BOTV2	Intensity BOTV3	Intensity P1G1	Intensity P1G10	Intensity P1G5	Intensity P2A1	Intensity P2A10	Intensity P2A11	Intensity P2A2	Intensity P2A3	Intensity P2A5	Intensity P2A6	Intensity P2A7	Intensity P2A9	Intensity TOPV1	Intensity TOPV2	Intensity TOPV3
Bifidobacterium	Genus	Bacteria		Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		1459885100	291680700	1256156700	1776275200	2000776500	617836000	3135024700	7193992700	4977147400	2521444300	3361140900	935036200	1619081000	1066669500	6964078000	1286051100	778727500	1881407100
Megamonas funiformis	Species	Bacteria		Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas	Megamonas funiformis	0	63281000	939430500	0	608261800	0	0	113457300	77862600	0	0	0	0	0	132447800	0	0	136139000
Fungi	Kingdom	Eukaryota	Fungi							17014000	153837000	12552000	0	0	15058000	69961000	13825000	0	60400000	0	34729000	0	0	12551000	0	0	0
Bifidobacterium adolescentis	Species	Bacteria		Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis	9305200	7206600	86187100	17227000	104165200	0	16933000	954058300	684039900	0	18671000	147843900	142616700	89286700	659726200	0	36531000	162606400
Streptophyta	Phylum	Eukaryota	Viridiplantae	Streptophyta						0	69171000	0	0	0	87224000	0	31957000	0	0	0	22377000	34541000	7639500	0	0	103550000	10228000
Tissierellia	Class	Bacteria		Firmicutes	Tissierellia					23020000	107756000	5807800	28649000	6468300	0	12287000	0	0	34937000	14048000	13489000	18747000	7679200	0	12181000	10935000	24512000
Lachnospiraceae bacterium 3_1_57FAA_CT1	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		Lachnospiraceae bacterium 3_1_57FAA_CT1	75736100	51570000	87584000	70817000	0	84120000	154429800	47955000	100650000	250120000	123720000	0	99251000	0	43037000	111870000	0	93655000
Bacteroides sp. 4_3_47FAA	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. 4_3_47FAA	0	0	0	0	0	0	0	22530700	10995000	0	0	0	0	0	48748800	0	0	10883000
Prevotella sp. S7-1-8	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. S7-1-8	0	0	0	0	0	0	0	0	0	0	0	18841000	16243300	1957200	0	0	1956000	0
Collinsella aerofaciens	Species	Bacteria		Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens	21381300	255351000	268402200	43418000	135240900	413671000	24128700	270345400	179705700	19621000	0	170683600	237293700	187843000	223206300	65853400	270605700	141492400
Megasphaera sp. DJF_B143	Species	Bacteria		Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera sp. DJF_B143	0	100010000	383338400	0	314475000	77654000	0	244634000	160237500	0	0	9633500	10164000	9401200	210170500	0	0	200027900
Eubacterium	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium		2322154700	3843164600	2697449800	2792556200	2181845400	2023326700	4076536700	2105138700	1059072700	3701516500	4147404000	726213000	795398800	629815200	1515732900	3297528700	1601262000	2678215400
Ruminococcus sp. 5_1_39BFAA	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. 5_1_39BFAA	157950000	501442600	182660000	226360000	160200000	414716000	55060000	0	10745000	38681000	80434000	17754200	46196000	26084600	0	150230000	72281900	142390000
Sutterellaceae	Family	Bacteria		Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae			0	39005700	841202000	0	2497554400	305268400	0	205644000	208060600	0	56142000	2644500	0	0	144887700	0	319966910	2679152600
