Name	Rank	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species	Intensity BOTV1	Intensity BOTV2	Intensity BOTV3	Intensity P1G1	Intensity P1G10	Intensity P1G5	Intensity P2A1	Intensity P2A10	Intensity P2A11	Intensity P2A2	Intensity P2A3	Intensity P2A5	Intensity P2A6	Intensity P2A7	Intensity P2A9	Intensity TOPV1	Intensity TOPV2	Intensity TOPV3
Mitsuokella	Genus	Bacteria		Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella		82110000	10850205200	6166000	0	0	6911944800	64846000	0	0	0	73600000	1250384200	1367637100	1473359200	0	0	534406000	0
Bacteria	Superkingdom	Bacteria								2.27981E+11	3.66258E+11	3.26529E+11	3.75511E+11	3.46883E+11	4.35788E+11	3.18687E+11	4.48936E+11	3.20815E+11	2.5018E+11	3.14765E+11	2.07798E+11	3.10533E+11	2.51001E+11	3.65122E+11	4.43639E+11	2.63319E+11	4.43544E+11
Mitsuokella multacida	Species	Bacteria		Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Mitsuokella	Mitsuokella multacida	0	1037825000	0	0	0	673325800	0	0	0	0	0	76288400	104122100	146300300	0	0	0	0
Prevotella dentalis	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella dentalis	0	0	0	0	0	9822600	0	42803000	43530000	0	0	36428000	32756000	28173000	28666000	0	0	0
Coriobacteriales	Order	Bacteria		Actinobacteria	Coriobacteriia	Coriobacteriales				1497680000	4657518800	8676045000	2911918000	7201278000	6750314600	785472800	5172009600	3488775800	435476300	790806700	2396040400	3168795500	2391547700	4838388600	3854683200	5249189400	9587960000
Coriobacteriia	Class	Bacteria		Actinobacteria	Coriobacteriia					1528381400	4910778700	8798048100	2996691000	7559898000	7191925900	911507400	5666134300	3891481200	462458300	896544200	2619995300	3491789600	2721836500	5351295000	4006652200	5448367600	10084348200
Oribacterium sinus	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	Oribacterium sinus	32925000	30105000	13610000	61945000	0	53175000	83741000	52917000	40393000	64120000	89045000	30408000	93390000	35984000	50706000	70210000	32828000	18338000
Dialister	Genus	Bacteria		Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister		855132000	4016602600	405533400	606770000	1057003800	8367687000	612996000	954565500	745873200	386530000	469640000	2801130400	3924936900	3774654300	1054923000	203880000	4386244900	1252834400
Bifidobacteriales	Order	Bacteria		Actinobacteria	Actinobacteria	Bifidobacteriales				1956029100	359783700	1547481400	2359907200	2411217000	773740000	4214720700	8955604600	6171787400	3219601400	4266722000	1281168800	2005976400	1410094100	8509568100	1769123100	1060165700	2485560100
Oscillibacter	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter		42675000	1260331900	84741800	207656000	253135600	918944000	12558000	35983000	57233000	0	0	283501700	412397700	321301600	93650000	326638400	401744700	265547800
Streptomycetaceae	Family	Bacteria		Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae			35657000	115860000	67088000	53586000	95208000	103030000	95039000	74644000	53027000	77352000	89161000	29945000	35778000	25171000	75039000	130590000	71443000	170200000
Streptomycetales	Order	Bacteria		Actinobacteria	Actinobacteria	Streptomycetales				35657000	115860000	67088000	53586000	95208000	103030000	95039000	74644000	53027000	77352000	89161000	29945000	35778000	25171000	75039000	130590000	71443000	170200000
Bacteroides coprophilus	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides coprophilus	0	0	77699000	0	121475000	9937700	9769600	246949000	162764000	10324000	13814000	0	0	0	201272000	29766000	9018500	57824000
Bacteroides plebeius	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides plebeius	0	0	51739400	0	161941600	0	0	700725900	424672600	0	0	0	0	0	571992300	0	0	218931500
Bacteroides coprocola	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides coprocola	0	0	98015100	0	235684900	39818000	0	506376000	371920700	0	0	0	0	0	410284200	0	0	379588000
Flavonifractor	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales		Flavonifractor		10002000	58966000	25437600	11603000	29601000	125139000	0	0	0	0	0	0	0	0	0	14870000	101560000	11925000
[Clostridium] methylpentosum	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	[Clostridium] methylpentosum	26420000	33206000	34546000	0	0	0	0	0	0	0	0	0	100870000	0	0	31584000	0	10810000
Prevotella bergensis	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella bergensis	0	0	0	0	0	67493000	0	0	0	0	0	11407000	43104000	42866000	0	0	15025000	0
Basidiomycota	Phylum	Eukaryota	Fungi	Basidiomycota						17014000	136116000	0	0	0	0	69961000	0	0	60400000	0	34729000	0	0	0	0	0	0
Blautia	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia		6305178400	1153258300	3933707400	7074654700	3044599400	1524821200	2708225100	763346700	527645800	2736068200	2716553800	293283400	432565800	283543900	919239400	4429398700	279317300	2762415400
Parabacteroides goldsteinii	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides goldsteinii	0	0	15329000	0	33532000	0	0	54593000	48861000	0	0	0	0	0	70099600	0	0	30449000
Alistipes shahii	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes shahii	0	0	0	25002000	16636000	7351700	19513000	12875000	7025600	10355000	18496000	0	0	0	17860700	107763300	3635000	68816000
Desulfovibrionales	Order	Bacteria		Proteobacteria	Deltaproteobacteria	Desulfovibrionales				0	277493200	479226800	0	434553000	367755000	0	81286100	33859400	0	0	13296700	7210100	4773000	43644000	0	92235000	227807000
Bacteroides intestinalis	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides intestinalis	32564000	0	0	131687300	0	0	72995000	18916000	9742200	72264900	104199000	0	0	0	16253000	287930300	0	23067000
Megamonas	Genus	Bacteria		Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Megamonas		67864000	1144296200	6714221900	50060000	4759543200	449064800	10030000	1377238300	748091300	0	9576600	0	0	8674100	1047767900	0	12931000	1096492200
Spirochaetales	Order	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales				0	7065000	32613300	75370000	9854800	19108000	44315000	50992000	48004000	30990000	50959000	0	0	0	59954000	63286000	22599000	78324000
Spirochaetaceae	Family	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae			0	7065000	32613300	75370000	9854800	19108000	44315000	50992000	48004000	30990000	50959000	0	0	0	59954000	63286000	22599000	78324000
Coriobacteriaceae	Family	Bacteria		Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae			1337456000	4172074000	7440669700	2527802000	6398294000	5782145600	642127800	4294194700	2775735200	376134300	675405700	2054700700	2781235000	1951683400	4001782600	3457448200	4480390100	7942223300
Alistipes	Genus	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes		10448000	97183000	128470100	826011500	1059873400	105029700	981368700	2798392200	2023187600	563037300	1004127500	0	40807400	6691600	2294941800	1687756600	65098500	2543596700
Slackia	Genus	Bacteria		Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Slackia		0	0	3473300	0	0	7186300	18094000	34664000	27147400	0	19558000	8838500	12190000	6099000	40654000	22294000	0	16651000
Eggerthella	Genus	Bacteria		Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella		0	132258600	0	0	0	96059000	0	21124000	16382000	0	0	108475900	174828000	241924600	19659000	0	17873500	7419100
Gordonibacter pamelaeae	Species	Bacteria		Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Gordonibacter	Gordonibacter pamelaeae	0	0	0	0	0	0	73723600	0	0	13968000	72822500	0	0	0	0	0	0	0
Ruminococcus lactaris	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus lactaris	509137600	5040800	2762490800	736560300	927991800	0	159181700	218398700	197104100	83683000	142014800	0	0	0	292691200	493142900	0	977404100
Succinatimonas	Genus	Bacteria		Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinatimonas		0	37472000	7837400	0	53685100	70292000	7674700	0	0	0	10959000	44184000	43389000	37729000	14382000	16131000	31022000	0
Treponema	Genus	Bacteria		Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema		0	7065000	8610300	18206000	9854800	19108000	0	0	12739000	0	0	0	0	0	16271000	0	0	22425000
Lactobacillaceae	Family	Bacteria		Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae			36641000	18742800	544630000	39101000	13494000	7803200	65255000	0	0	36037000	66839000	23795600	9996100	10118000	0	15910000	0	0
Erysipelotrichia	Class	Bacteria		Firmicutes	Erysipelotrichia					10471000	129108200	82968400	0	0	191937000	13374000	12538000	32100300	0	33784000	21870100	0	5909800	71721000	32374100	26017000	2500600
Erysipelotrichales	Order	Bacteria		Firmicutes	Erysipelotrichia	Erysipelotrichales				10471000	129108200	82968400	0	0	191937000	13374000	12538000	32100300	0	33784000	21870100	0	5909800	71721000	32374100	26017000	2500600
Blautia hydrogenotrophica	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia hydrogenotrophica	176514000	130991000	166450000	144140000	143440000	116841000	59783900	0	0	28250000	33823000	5283800	20174800	17364800	0	108140000	45476000	88533000
Proteobacteria	Phylum	Bacteria		Proteobacteria						360270100	1037591900	2633800100	1001108300	5052754100	1632477400	472589700	481441500	351980100	279511000	741402300	250545200	354797100	326932500	320694300	1748416700	785719210	4402108700
Bifidobacteriaceae	Family	Bacteria		Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae			1956029100	359783700	1547481400	2359907200	2411217000	773740000	4214720700	8955604600	6171787400	3219601400	4266722000	1281168800	2005976400	1410094100	8509568100	1769123100	1060165700	2485560100
Enterobacterales	Order	Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales				0	104667000	170106000	0	278537600	69866000	25076000	23193000	15714000	15109000	27484000	10101000	75170000	70229500	0	0	38737000	99481000
Gammaproteobacteria	Class	Bacteria		Proteobacteria	Gammaproteobacteria					36397000	216996000	229448100	28419900	390464000	284698000	92029700	31566400	15714000	60623000	117678000	133441000	211834000	158518500	14382000	142236800	106647100	282840100
Firmicutes	Phylum	Bacteria		Firmicutes						1.46632E+11	2.17698E+11	1.95E+11	1.95926E+11	1.56027E+11	1.90699E+11	1.71225E+11	1.36402E+11	95885600500	1.27979E+11	1.6469E+11	72106722600	1.06503E+11	88962921000	1.12696E+11	1.95827E+11	81991006210	1.76145E+11
Paenibacillus	Genus	Bacteria		Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus		0	16806000	37801000	0	24193000	0	0	43543000	0	0	0	0	0	0	11334000	0	0	0
Alloprevotella	Genus	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella		0	291150000	0	0	0	267195000	0	0	0	0	0	79909400	139168000	88817400	0	0	79363600	0
Veillonellaceae	Family	Bacteria		Firmicutes	Negativicutes	Veillonellales	Veillonellaceae			911689000	22332035400	863367800	606770000	1438646000	17530181900	632423000	1272191500	966155900	400037000	494532000	3064334700	4250984300	4044322400	1343888100	203880000	4684253500	1499702300
Clostridiaceae	Family	Bacteria		Firmicutes	Clostridia	Clostridiales	Clostridiaceae			1893911300	4117394400	2744312300	3438741100	3279267000	3933643000	6997793900	1232108700	887566000	4764031700	5780845300	988205900	1358459000	1142334300	1328179800	4441077700	1029125700	2991846600
Clostridium sp. D5	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. D5	0	45546000	290570000	35197000	226574000	23207000	0	73598000	101582000	0	0	4676500	20111000	0	98431000	73154000	0	377945000
Ruminococcus	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus		2186366500	4706541500	4024871100	2392322200	1781979800	2207199400	1486509700	2516023900	1760984900	1189193300	1758641500	534574300	1345416400	1487830200	2084459300	1366232700	409334000	2861494700
Lachnoclostridium	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium		42382000	35116000	14359000	60392000	8472900	11493000	0	0	0	13020000	0	18904300	15318000	0	0	42742000	0	0
Roseburia hominis	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia hominis	39615800	0	0	40744100	15992000	0	670461000	44079900	21223600	342432500	697765000	0	11178700	0	40083100	206410000	0	26733000
Roseburia faecis	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia faecis	0	9730000	519718200	0	684663300	31572000	0	12636525900	9067463800	13645000	0	888279400	1200029200	837501000	9624948100	0	30423500	1883368700
Succinatimonas hippei	Species	Bacteria		Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinatimonas	Succinatimonas hippei	0	37472000	0	0	39134000	57260000	0	0	0	0	0	44184000	43389000	37729000	0	0	31022000	0
Prevotella multisaccharivorax	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella multisaccharivorax	0	110429800	0	0	0	379975000	0	19121000	0	0	0	326039000	459915300	351588000	18483000	0	210388700	0
Bacteroides clarus	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides clarus	0	0	0	9102000	0	0	50276300	0	0	23438200	48234000	0	0	0	0	11963000	0	46976000
Odoribacter laneus	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	Odoribacter laneus	0	0	27052000	12077000	0	0	12954000	0	41501000	8070200	17130000	0	0	0	0	17833000	0	13868000
Slackia piriformis	Species	Bacteria		Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Slackia	Slackia piriformis	0	0	3473300	0	0	7186300	18094000	34664000	27147400	0	19558000	8838500	12190000	6099000	40654000	22294000	0	16651000
Phascolarctobacterium	Genus	Bacteria		Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium		354158200	0	28897000	2439641600	172851500	0	605128400	30727000	0	432363300	735376500	22875000	0	20075000	12575000	3488320500	0	105589900
Bacteroides helcogenes	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides helcogenes	17075000	34423000	0	66487000	17346000	93321000	31262000	9497000	0	32153000	38001000	77481000	112849000	81114700	0	91777000	57438600	19095000
Bacteroides finegoldii	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides finegoldii	0	0	0	70652000	0	0	0	11920000	7289700	0	20668000	0	8907000	0	9508600	144290400	0	0
Lachnoanaerobaculum saburreum	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoanaerobaculum	Lachnoanaerobaculum saburreum	0	0	0	0	63870000	30102000	0	0	10550000	15968000	20263000	0	0	0	14333000	16232000	8386100	103838000
[Ruminococcus] torques	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	[Ruminococcus] torques	0	191440400	143105000	0	69735200	266108100	0	31325000	22401000	0	0	85130000	165300000	36674900	39514000	0	101301200	54430000
Coprococcus	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus		336972400	883359200	1204831400	616458300	885227700	528973000	518012300	2748365400	2353664900	405606300	687271300	2102773200	3589339000	2388477100	2256614000	772179900	366247200	752301800
Coprococcus eutactus	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus eutactus	35845000	94184400	14525000	88642000	78633000	307895000	100325000	1245626000	1013018200	87068000	132553000	1497673000	2618048700	1741638500	1531044400	110590000	360888000	187190600
Streptococcaceae	Family	Bacteria		Firmicutes	Bacilli	Lactobacillales	Streptococcaceae			1032300000	3549800	1345200000	2362200000	0	270420000	2520505000	3211500000	3733122300	986820000	46449000	10864000	13893000	51556800	1953000000	266800000	189470000	806110000
Streptococcus	Genus	Bacteria		Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		1032300000	3549800	1345200000	2362200000	0	270420000	2520505000	3211500000	3718286300	986820000	46449000	10864000	13893000	51556800	1953000000	266800000	189470000	806110000
Prevotella micans	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella micans	0	149360000	18003000	0	0	238961000	0	117200000	79910000	0	0	206720100	277117300	115304400	99814000	0	255617700	108920000
Megasphaera sp. NM10	Species	Bacteria		Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera sp. NM10	0	282355000	0	0	0	18290000	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella bryantii	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella bryantii	0	201303000	0	0	0	190682000	0	14185000	7812200	0	0	222997700	269160000	226199000	0	0	102454600	0
Ruminiclostridium	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium		26420000	74756000	59726000	0	56856000	23517000	19124000	33754700	19258000	0	0	17822400	121405000	7722000	25124000	31584000	20115200	63344000
Atopobiaceae	Family	Bacteria		Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae			11575000	0	46031400	57620000	47430100	0	52932000	27263400	22398300	37281000	48558000	5141200	6941600	5551900	27089600	18380000	0	48469800
Eggerthellaceae	Family	Bacteria		Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae			0	151262600	48577300	0	88413000	125894300	91817600	273932000	298566700	13968000	92380500	135134400	212219700	257311600	274331000	22294000	24142000	126157200
Eggerthellales	Order	Bacteria		Actinobacteria	Coriobacteriia	Eggerthellales				0	151262600	48577300	0	88413000	125894300	91817600	273932000	298566700	13968000	92380500	135134400	212219700	257311600	274331000	22294000	24142000	126157200
Prevotella copri	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri	0	4557836500	4399642000	0	12348656200	14447690800	0	55354633680	39359726300	0	0	13017936600	21479357100	15618187700	43804967400	0	12389809700	17341119600
Acidaminococcales	Order	Bacteria		Firmicutes	Negativicutes	Acidaminococcales				365234200	6622474600	28897000	2467712600	172851500	7631913300	645466400	30727000	0	446151300	879895500	342314900	383219400	390307700	12575000	3551996900	3052206800	117733900
Veillonellales	Order	Bacteria		Firmicutes	Negativicutes	Veillonellales				911689000	22332035400	863367800	606770000	1438646000	17530181900	632423000	1272191500	966155900	400037000	494532000	3064334700	4250984300	4044322400	1343888100	203880000	4684253500	1499702300
Akkermansia	Genus	Bacteria		Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia		0	6979000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1103600
Selenomonadaceae	Family	Bacteria		Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae			222727100	15105932700	7033867100	153811000	4946335200	9563462600	127180000	1476801600	787970400	68502000	138505600	1789695800	1829610900	1805019100	1251019100	89204000	768499500	1157531200
Ruminococcaceae	Family	Bacteria		Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			13426106900	17523326400	11818897200	26068778100	15085497400	29337775200	38304206300	26048554000	18578000600	31410194500	37611157500	19627976700	30123796000	22464477400	23049023700	36501568300	19990672700	22377663500
Fusobacteria	Phylum	Bacteria		Fusobacteria						0	0	29406000	0	106921000	0	104450000	15997000	0	0	54657000	0	30668000	0	0	46331000	0	117867000
Viridiplantae	Kingdom	Eukaryota	Viridiplantae							0	69171000	0	0	0	87224000	0	31957000	0	0	0	22377000	34541000	7639500	0	0	103550000	10228000
Collinsella sp. 4_8_47FAA	Species	Bacteria		Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp. 4_8_47FAA	10213000	13837000	12662200	10539000	22042900	16037000	8183300	60038200	48463400	0	10888000	7341400	9952000	7785900	23275000	13638000	13983900	27352000
Fusicatenibacter saccharivorans	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter saccharivorans	92995000	9484200	0	119943400	16038000	23327000	349817400	0	0	181136500	301386400	9563600	9883400	8061400	0	71171000	0	0
Verrucomicrobiales	Order	Bacteria		Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales				0	6979000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1103600
Phascolarctobacterium sp. CAG:207	Species	Bacteria		Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium sp. CAG:207	233445200	0	16650000	1820626700	96248500	0	434249800	30727000	0	291213900	558769600	22875000	0	20075000	12575000	2495963300	0	72484800
Prevotella sp. 109	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. 109	0	45481000	0	0	0	48994000	0	22028000	17862000	0	0	51157000	129202800	60788500	19177000	0	56048800	15571000
Liliopsida	Class	Eukaryota	Viridiplantae	Streptophyta	Liliopsida					0	34881000	0	0	0	51915000	0	31957000	0	0	0	11549000	20591000	0	0	0	92357000	10228000
Roseburia inulinivorans	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	667671700	132686400	0	1953773600	0	450462600	1516242700	238474000	138071400	1145490200	1621602800	303149700	398234000	134109800	216258000	3746173400	390451800	53616900
Bacillales	Order	Bacteria		Firmicutes	Bacilli	Bacillales				58778000	93299000	109808000	100830000	144393000	113579000	0	79808000	27322000	11065000	35364200	12226000	45154500	17729000	35814700	161860000	47576000	195073000
Prevotella timonensis	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella timonensis	0	15928000	0	0	0	12836000	0	0	0	0	0	6256600	9881600	8404400	0	0	6216100	0
Tannerella	Genus	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Tannerella		0	84348000	0	31187000	7689000	36267000	44606000	0	0	42397000	41628000	35387000	44615000	31036000	0	65643000	0	0
Akkermansiaceae	Family	Bacteria		Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae			0	6979000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1103600
Dorea longicatena	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea longicatena	348174700	788048900	1777595000	219717300	1368627300	233204100	127846800	360247300	226240500	98793000	102314000	103972400	120929000	143688400	326544200	871561800	83353200	1867808200
Desulfovibrionaceae	Family	Bacteria		Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae			0	189647200	420651800	0	372748000	278987000	0	67248100	27542000	0	0	10310000	0	0	30525000	0	70513000	175015000
Sutterella sp. KLE1602	Species	Bacteria		Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella sp. KLE1602	0	0	0	0	110724000	2675200	0	0	0	0	0	0	0	0	0	0	7779610	0
Coprococcus catus	Species	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus catus	264339000	191857000	660687500	395188000	334991700	51284000	256071200	309403000	265255200	211803100	288320700	22601700	14364000	19741300	301562000	498941900	0	459605200
Bifidobacterium pseudocatenulatum	Species	Bacteria		Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudocatenulatum	11926000	0	0	47413400	0	0	92204100	0	0	93219000	105126000	0	0	0	0	12598000	0	0
Insecta	Class	Eukaryota	Metazoa	Arthropoda	Insecta					0	0	0	0	15186000	42732000	12848000	13233000	0	0	12274000	0	0	0	0	17188000	26902000	0
Poaceae	Family	Eukaryota	Viridiplantae	Streptophyta	Liliopsida	Poales	Poaceae			0	34881000	0	0	0	51915000	0	31957000	0	0	0	11549000	20591000	0	0	0	92357000	10228000
Flavobacteriaceae	Family	Bacteria		Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae			0	117762000	0	0	0	29925000	0	0	0	9149600	0	21485000	39598100	34897500	0	7305100	77875000	0
Anaerostipes	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes		12189000	164821000	29201000	0	50863000	47643000	17640000	0	0	15872000	0	0	20779000	15685000	0	38591000	0	44115000
Lachnospira	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira		20588000	0	43134500	30142000	13925000	11929000	64837000	0	0	32346000	57697000	0	10303000	0	0	16380000	0	0
Anaerotruncus	Genus	Bacteria		Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus		84166000	103807000	0	32262000	70286000	208467000	0	0	22201000	30315000	0	32300000	41800000	41115000	0	0	50895000	4425800
Prevotella sp. oral taxon 299	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. oral taxon 299	0	0	0	0	16809000	151145700	34460000	186726000	59200000	0	35600000	96269000	156089000	19486000	165375000	0	18301000	44359000
Parabacteroides merdae	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides merdae	0	228959500	552028800	0	1531871700	710403400	6832700	569606000	347951500	0	4295900	0	0	0	509705400	0	768405200	2862903000
Dialister invisus	Species	Bacteria		Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister invisus	232122000	384817000	188837400	186650000	699194000	751759000	88566000	749969800	524394700	0	0	214095600	388017000	648495000	766310000	0	440214000	909334600
Bacteroides stercoris	Species	Bacteria		Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercoris	0	16446000	9598200	496260100	0	55129000	427093700	0	0	611119200	955372100	39408000	31748000	27289000	0	608217700	30343000	18199000
Clostridiales	Order	Bacteria		Firmicutes	Clostridia	Clostridiales				78034735900	77455446800	1.01521E+11	1.12639E+11	84088444450	83718169800	1.17782E+11	93478990730	65677306500	90791385100	1.17034E+11	49299312800	72993181100	57095748300	79584021500	1.21481E+11	44310033910	92707133900
Lachnospiraceae	Family	Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			10959421600	7027784300	12533409700	16158390700	10062214850	7552094800	12617567700	22504480100	16841131500	9686673700	13596955800	6690259200	10196254100	7238125800	18854040300	17903343700	4038515800	13712491100
Clostridia	Class	Bacteria		Firmicutes	Clostridia					78094316900	77619615800	1.02018E+11	1.12851E+11	84400005450	83852584400	1.18009E+11	93796023730	65838841500	90829083100	1.17215E+11	49450701800	73179022000	57262555300	79840712600	1.21611E+11	44324777910	93141292000
Eubacteriaceae	Family	Bacteria		Firmicutes	Clostridia	Clostridiales	Eubacteriaceae			2396391700	3937324600	2853328800	2899206200	2283722400	2258461700	4088379700	2105138700	1059072700	3714130500	4147404000	730315300	795398800	629815200	1515732900	3483308700	1601262000	2709341400
